                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.4347,                0.39797,                0.85662,                0.96736,                0.24363,                0.31931,                0.27598,                0.37883,                0.68969,                 0.5101,             0.00066838,             0.00066838,             0.00066838
                     49,                0.42711,                0.37945,                0.85389,                 0.9758,                0.31124,                0.39176,                0.33395,                0.35729,                0.63339,                0.50578,               0.000656,               0.000656,               0.000656
                     50,                0.40224,                0.35805,                0.83391,                0.95866,                0.41348,                0.50203,                0.42658,                0.36556,                0.64675,                0.50723,             0.00064362,             0.00064362,             0.00064362
                     51,                0.42125,                0.36521,                0.83752,                0.99007,                0.25889,                0.37049,                0.32253,                0.37823,                0.65261,                0.50412,             0.00063125,             0.00063125,             0.00063125
                     52,                0.43323,                0.39535,                0.84341,                 0.9558,                0.34394,                0.45087,                0.38106,                0.36959,                0.64876,                0.50557,             0.00061887,             0.00061887,             0.00061887
                     53,                0.40714,                0.37559,                0.84521,                0.99171,                0.22384,                0.34708,                  0.295,                0.34732,                0.62823,                0.50448,              0.0006065,              0.0006065,              0.0006065
                     54,                0.41048,                0.37663,                0.85893,                0.95761,                0.29105,                0.40395,                0.34909,                0.35649,                0.60944,                0.50214,             0.00059413,             0.00059413,             0.00059413
                     55,                0.37938,                0.35234,                0.83192,                0.99163,                0.66053,                0.70827,                0.59716,                0.37294,                0.60951,                0.50351,             0.00058175,             0.00058175,             0.00058175
                     56,                0.41418,                0.34382,                0.84218,                0.98819,                0.47537,                 0.5432,                0.45452,                0.36597,                0.59779,                0.50626,             0.00056938,             0.00056938,             0.00056938
                     57,                0.42144,                0.36691,                0.85614,                0.98441,                0.43702,                0.51002,                0.42802,                0.33991,                0.57759,                0.50648,               0.000557,               0.000557,               0.000557
                     58,                0.37568,                0.32983,                0.83212,                0.99425,                0.63135,                0.68128,                0.57309,                0.36792,                0.62402,                0.51444,             0.00054463,             0.00054463,             0.00054463
                     59,                0.41853,                0.37412,                0.84359,                0.99563,                0.69658,                0.74039,                0.61433,                0.36606,                0.61493,                0.51225,             0.00053225,             0.00053225,             0.00053225
                     60,                0.38741,                0.33848,                0.83616,                0.99066,                0.73237,                0.76801,                0.65175,                0.32249,                 0.5814,                0.50328,             0.00051988,             0.00051988,             0.00051988
                     61,                0.40056,                0.33881,                0.84136,                0.99365,                0.64554,                0.69624,                0.58727,                0.32256,                0.56623,                0.50429,              0.0005075,              0.0005075,              0.0005075
                     62,                0.39451,                0.34063,                0.83485,                0.99201,                0.88906,                0.90921,                0.76406,                0.32284,                0.56034,                0.50442,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.3738,                0.32504,                0.82137,                0.99487,                0.73137,                0.78202,                0.64458,                0.34552,                0.56414,                0.50643,             0.00048275,             0.00048275,             0.00048275
                     64,                0.39319,                0.33105,                0.83862,                0.98667,                0.63538,                0.70838,                0.58994,                0.37371,                 0.5905,                0.50894,             0.00047038,             0.00047038,             0.00047038
                     65,                0.35668,                0.32135,                 0.8235,                0.99079,                0.65197,                 0.7338,                0.60431,                0.34607,                0.57467,                0.50693,               0.000458,               0.000458,               0.000458
                     66,                0.36939,                0.31824,                0.82366,                0.97789,                0.40472,                0.54982,                 0.4553,                0.40231,                0.57138,                0.51806,             0.00044563,             0.00044563,             0.00044563
                     67,                0.37377,                0.31555,                0.82313,                0.98549,                0.78255,                0.84163,                0.66381,                0.40694,                 0.5723,                0.51741,             0.00043325,             0.00043325,             0.00043325
                     68,                0.37547,                0.30866,                0.82796,                0.99271,                0.74768,                0.81979,                0.68838,                0.32794,                0.52795,                0.50734,             0.00042087,             0.00042087,             0.00042087
                     69,                0.35934,                0.30061,                 0.8289,                0.98897,                0.51464,                0.66407,                0.56549,                0.30643,                0.50114,                0.50436,              0.0004085,              0.0004085,              0.0004085
                     70,                0.34314,                0.29971,                0.83853,                0.99693,                0.73397,                0.82675,                0.71376,                0.31538,                0.50389,                0.50255,             0.00039613,             0.00039613,             0.00039613
                     71,                0.35569,                0.30587,                0.82261,                0.99793,                0.96493,                0.97827,                0.84199,                0.32041,                0.50308,                0.50363,             0.00038375,             0.00038375,             0.00038375
                     72,                0.32559,                0.29123,                0.82615,                 0.9953,                0.42921,                 0.6206,                0.54342,                 0.3066,                0.50798,                 0.5034,             0.00037138,             0.00037138,             0.00037138
